Lien image,Question,Difficulté,Réponse
AmericanNightmare,Quel est ce film ?,Moyen,American Nightmare
Ao oni,Comment se nomme se démon ?,Hardcore,Ao Oni
Baldi,Qui est ce ?,Facile,Baldi
chucky,Qui est ce ?,Facile,Chucky
cookie,De quelle oeuvre a été inspiré cette boîte à  cookie ?,Moyen,Alien
deadbydaylight,Quelle est cette oeuvre ?,Facile,Dead by Daylight
Destinationfinale,De quel film est ce le synopsis ?,Difficile,Destination Finale
destinationfinale2,4 images - 1 oeuvre,Facile,Destination Finale
Evilwithin,Quel est ce jeu ?,Moyen,The Evil Within
Freddykrueger,Qui est ce ? (nom et prénom),Facile,Freddy Krueger
HannibalLecter,Qui est ce ? (nom et prénom),Facile,Hannibal Lecter
human_centipede,Quelle oeuvre est représentée dans cet épisode de South Park ?,Facile,The Human Centipede
InkBendy,Qui est ce ? (nom complet),Hardcore,Ink Bendy
it,Qui est ce ?,Facile,It / ça
Jasonvoorhees,Quel tueur se cache derrière ce masque ?(Nom et Prénom),Facile,Jason Voorhees
Jigsaw,Quel est le nom complet du tueur qui se cache par cette poupée ?,Moyen,John Kramer
jillvalentine,Comment se nomme cette très jolie femme ?,Moyen,Jill Valentine
kinggame,De quel manga provient cette scène ?,Moyen,King's Game
ladydimitrescu,Comment s'appelle cette très jolie femme ?,Moyen,Lady Dimitrescu
Mei Misaki,Qui est ce ?,Difficile,Mei Misaki
michael,Comment s'appelle-t-il ? (Nom et Prénom),Facile,Michael Myers
outlast,Quel est le nom de cette oeuvre ?,Facile,Outlast
phasmophobia,Quel est cette oeuvre ?,Facile,Phasmophobia
pinhead,Qui est ce ?,Moyen,Pinhead
predator,Quelle est cette créature ?,Facile,Predator
purge,Quels sont les noms : Anglais et Français et Québécois de cette oeuvre ?,Hardcore,The Purge - American Nightmare - La Purge
Pyramidhead,Qui est ce ?,Facile,Pyramidhead
realaccount,De quel manga provient cette scène ?,Difficile,Real Account
ReganMacNeil,Qui est ce ? (nom et prénom),Moyen,Regan McNeil
residentevil3,Quel est le nom du jeu exact ?,Moyen,Resident Evil 3
saw,Quel est le nom québécois de ce film ?,Difficile,Décadence
Saw2,Comment s'appelle le piège dans lequel se trouve ce jeune homme ?,Difficile,Le masque de la mort / Venus Fly
SCP-096,Quel est le numéro de ce SCP ?,Difficile,SCP-096
scream,Comment se fait appeler ce tueur ?,Facile,Ghostface
Sirenhead,Comment se nomme cette créature ?,Facile,Sirenhead
slender,Comment s'appelle-t-il ?,Facile,Slenderman
spooky,De quel jeu AAA provient cette magnifique créature ?,Facile,Spooky
Springtrap,Comment se nomme cet animatronique ?,Moyen,Springtrap
the moon,De quel jeu provient cette entité ?,Facile,Zelda Majora's Mask
the_collector,Quel est le nom du film ?,Moyen,The Collector
therake,Comment se nomme cette créature ?,Moyen,The Rake
Tricky,De quelle série de jeux provient ce personnage ?,Hardcore,Madness
Unfriended,De quel film est ce le synopsis ?,Moyen,Unfriended
Until Dawn,Quel est le nom de la créature présente derrière cet être humain ?,Facile,Wendigo
Untildawn2,Dans quel jeu se trouve cette mort ?,Difficile,Until Dawn
Xenomorph,Comment se nomme cette créature ?,Facile,Xenomorph
